PC	batch	Island	Sampling.Site	Language	Sampling.Date	Age	RNA.Extraction.Batch	Sequencing.pool	RIN	Mappi	Season	Gran	Bcell	CD4T	CD8T	NK	Mono	replicate	Variance
58	0.959859997001383	0.953099972872405	0.793411009698401	0.86152321744971	0.798321962146049	0.265990360025356	0.142026178972549	0.996153767997094	0.845455264138073	0.960862469718682	0.960862469718682	0.914995854565984	0.919245566716428	0.633339117283797	0.837010904274071	0.555229186320053	0.976205001873075	0.665154434355621	0.00269303194741589
59	0.998328687143494	0.969439754840698	0.366510821063353	0.526852523438085	0.378989343579018	0.409370149725011	0.445327256353022	0.879997253887795	0.692940063351943	0.94050409003092	0.94050409003092	0.763180859117701	0.908419827805933	0.846499720471585	0.992292518742484	0.716535140566467	0.692605815299553	0.924978708964762	0.00267486294205704
60	0.889058161696053	0.978112370022583	0.8442955741627	0.86753101355138	0.861163683364166	0.522979406546287	0.958714508283079	0.497907583827756	0.963385949654966	0.833979246211409	0.833979246211409	0.943811741725008	0.986577574132135	0.89090394542452	0.744521061810517	0.941252920531615	0.778929697436064	0.901876197320664	0.00266433821680928
61	0.972067184751264	0.994356694163706	0.949869326362101	0.776039940238948	0.970114977523807	0.382116942015748	0.313595723462403	0.402520936051947	0.542368920296377	0.918776207257232	0.918776207257232	0.841218301070752	0.905819833275908	0.904599606968245	0.994088541404119	0.637317635778746	0.972427899479011	0.590703024446477	0.00262413707724556
62	0.994780711931838	0.928825125999398	0.738789423788153	0.190527710050765	0.0204043325088239	0.99246832420218	0.127182115035996	0.136707212213573	0.776885362851994	0.984879088017221	0.984879088017221	0.94932811492909	0.95876538005816	0.997962102340505	0.846107072870895	0.782102834431113	0.874083579337421	0.527090427580771	0.00259159294120858
63	0.982897149011446	0.861584773528618	0.949606441206108	0.883055510979503	0.475956448924276	0.672412280729712	0.0324450246913419	0.998303643506834	0.699329241169271	0.943695782877837	0.943695782877837	0.696353772645643	0.889636946903088	0.837800934405751	0.566554431938257	0.623666058371755	0.999122550080923	0.875358089278444	0.0025596407507708
64	0.978268301122561	0.963026762340284	0.833635632884868	0.714393986721145	0.813138747627546	0.218616801411311	0.289339882062195	0.728717648580532	0.802664118075583	0.935777459367035	0.935777459367035	0.808502804185775	0.820783863758525	0.703077934381731	0.806721723312773	0.814033231180858	0.935479678094233	0.881060147088264	0.00254157585136413
65	0.98983224752925	0.930663384873176	0.690464058067987	0.776255326597266	0.809807377991477	0.739581735554371	0.577487146877176	0.741813663511696	0.993236362927453	0.893992584646116	0.893992584646116	0.778258757049894	0.934302565639273	0.631230282331491	0.607648958297666	0.715009419965399	0.919272343489848	0.588883565009214	0.00252360465852237
66	0.998270855103162	0.978455039326529	0.684650536052521	0.827553151100937	0.701511979621547	0.895104208648585	0.0615619207687624	0.838108751884339	0.514585226590179	0.997303067076455	0.997303067076455	0.976243057109574	0.758916252727964	0.806684407106502	0.708503096852915	0.968184641225184	0.721739288985458	0.999251112995969	0.00250357150310282
67	0.990477016069546	0.986093592722077	0.851336137842726	0.930386499696711	0.891400946380843	0.699620333641974	0.246489340448658	0.230557289495177	0.937213716291513	0.974698800100569	0.974698800100569	0.981556967830313	0.811496392697141	0.538338754609176	0.966267004457674	0.920225257494891	0.995631873400568	0.727630689582102	0.00248920449987935
